case_id,variant,granularity,container,frontend,tokenizer,token_count,char_count,compiled
case10_multi_turn,coarse|flat,coarse,flat,json,gpt-4o,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,json,gpt-3.5,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,json,llama-2,30,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,json,qwen2.5,27,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,json,claude,29,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,json,gemini,28,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,natural,gpt-4o,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,natural,gpt-3.5,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,natural,llama-2,30,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,natural,qwen2.5,27,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,natural,claude,29,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,natural,gemini,28,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|compact,coarse,compact,code,gpt-4o,47,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,code,gpt-3.5,46,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,code,llama-2,55,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,code,qwen2.5,47,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,code,claude,51,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,code,gemini,52,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,json,gpt-4o,47,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,json,gpt-3.5,46,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,json,llama-2,55,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,json,qwen2.5,47,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,json,claude,51,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,json,gemini,52,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,natural,gpt-4o,47,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,natural,gpt-3.5,46,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,natural,llama-2,55,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,natural,qwen2.5,47,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,natural,claude,51,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,coarse|compact,coarse,compact,natural,gemini,52,127,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}]}"
case10_multi_turn,medium|nested,medium,nested,code,gpt-4o,30,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,medium|nested,medium,nested,code,gpt-3.5,30,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,medium|nested,medium,nested,code,llama-2,38,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,medium|nested,medium,nested,code,qwen2.5,31,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,medium|nested,medium,nested,code,claude,36,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,medium|nested,medium,nested,code,gemini,35,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,medium|nested,medium,nested,json,gpt-4o,55,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,medium|nested,medium,nested,json,gpt-3.5,54,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,medium|nested,medium,nested,json,llama-2,64,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,medium|nested,medium,nested,json,qwen2.5,55,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,medium|nested,medium,nested,json,claude,59,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,medium|nested,medium,nested,json,gemini,58,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,medium|nested,medium,nested,natural,gpt-4o,25,86,"If auth is verified and status is not shipped, update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,medium|nested,medium,nested,natural,gpt-3.5,25,86,"If auth is verified and status is not shipped, update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,medium|nested,medium,nested,natural,llama-2,29,86,"If auth is verified and status is not shipped, update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,medium|nested,medium,nested,natural,qwen2.5,26,86,"If auth is verified and status is not shipped, update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,medium|nested,medium,nested,natural,claude,26,86,"If auth is verified and status is not shipped, update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,medium|nested,medium,nested,natural,gemini,26,86,"If auth is verified and status is not shipped, update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,medium|flat,medium,flat,code,gpt-4o,51,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,code,gpt-3.5,51,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,code,llama-2,60,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,code,qwen2.5,52,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,code,claude,58,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,code,gemini,57,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,json,gpt-4o,51,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,json,gpt-3.5,51,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,json,llama-2,60,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,json,qwen2.5,52,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,json,claude,58,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,json,gemini,57,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,natural,gpt-4o,51,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,natural,gpt-3.5,51,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,natural,llama-2,60,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,natural,qwen2.5,52,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,natural,claude,58,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|flat,medium,flat,natural,gemini,57,157,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""c0_type"":""auth"",""c0_val"":""verified"",""c1_type"":""status"",""c1_val"":""shipped""}"
case10_multi_turn,medium|compact,medium,compact,code,gpt-4o,76,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,code,gpt-3.5,74,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,code,llama-2,88,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,code,qwen2.5,75,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,code,claude,81,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,code,gemini,81,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,json,gpt-4o,76,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,json,gpt-3.5,74,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,json,llama-2,88,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,json,qwen2.5,75,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,json,claude,81,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,json,gemini,81,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,natural,gpt-4o,76,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,natural,gpt-3.5,74,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,natural,llama-2,88,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,natural,qwen2.5,75,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,natural,claude,81,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,medium|compact,medium,compact,natural,gemini,81,210,"{""i"":""!UPDATE"",""e"":[{""d"":""act"",""v"":""order_42"",""x"":""!UPDATE""},{""d"":""field"",""v"":""address""},{""d"":""new_value"",""v"":""5_Tianfu_Ave""}],""k"":[{""t"":""auth"",""v"":""verified"",""s"":""user""},{""t"":""status"",""v"":""shipped"","""
case10_multi_turn,full|nested,full,nested,code,gpt-4o,30,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,full|nested,full,nested,code,gpt-3.5,30,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,full|nested,full,nested,code,llama-2,38,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,full|nested,full,nested,code,qwen2.5,31,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,full|nested,full,nested,code,claude,36,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,full|nested,full,nested,code,gemini,35,97,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,full|nested,full,nested,json,gpt-4o,55,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,full|nested,full,nested,json,gpt-3.5,54,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
case10_multi_turn,full|nested,full,nested,json,llama-2,64,202,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}"
