case_id,frontend,model,llm_verdict,rule_verdict,elapsed,llm_reason,rule_reason
case9_tool_call,code,kimi-k2.6,pass,pass,9.91,"The response correctly captures all semantic elements including the conditional logic, main action, entities, constraint",Rule-based: all key entities and verbs found
case9_tool_call,json,kimi-k2.6,pass,pass,4.94,"The response correctly identifies the main action, all entities (restaurants, italian, Beijing, open_now), the rating co",Rule-based: all key entities and verbs found
case9_tool_call,natural,kimi-k2.6,pass,pass,9.21,"The response accurately identifies the main action (search/suggest), all entities (restaurants, italian, Beijing, open_n",Rule-based: all key entities and verbs found
case10_multi_turn,code,glm-5.2,pass,pass,9.73,"The model correctly identifies the main action (update), entities (order_42, address, 5_Tianhu_Ave), and constraints (au",Rule-based: all key entities and verbs found
case10_multi_turn,json,glm-5.2,pass,pass,8.26,模型正确识别了核心动作（更新）、所有实体（订单42、地址字段、新值）、所有约束（用户已验证、状态不等于已发货）以及逻辑顺序。,Rule-based: all key entities and verbs found
case10_multi_turn,natural,glm-5.2,pass,pass,8.75,模型正确识别了主要动作（更新）、所有实体（订单 order_42、字段 address、新值 5_Tianfu_Ave）以及所有约束条件（验证权限、状态不为已发货），并且未颠倒否定逻辑。,Rule-based: all key entities and verbs found
case1_multi_constraint,code,glm-5.2,pass,pass,10.92,模型正确识别了核心意图（取消航班和发送邮件）、所有实体（我、北京、航班、zhangsan）、条件约束（时间t+1am和地理位置），以及顺序执行要求，未遗漏或误判任何语义要素。,Rule-based: all key entities and verbs found
case1_multi_constraint,json,glm-5.2,pass,pass,13.24,"The response correctly identifies the main action (!CANCEL), entities (flight, email recipient zhangsan), and all constr",Rule-based: all key entities and verbs found
case1_multi_constraint,natural,glm-5.2,pass,fail,7.87,模型正确识别了主要动作（取消航班、通知zhangsan）、实体（位置北京、时间t+1am、人员zhangsan）、约束条件（时间与位置的AND关系）以及否定逻辑（条件不满足时不执行操作）。,missing entities: ['flight']
case2_negation,code,glm-5.2,pass,pass,10.85,"The model correctly identifies the main action as starting a hike, the condition as not raining at t+1, the alternative ",Rule-based: all key entities and verbs found
case2_negation,json,glm-5.2,pass,fail,5.69,模型正确识别了核心动作“徒步”、约束条件“t+1不下雨”以及备选方案“室内玩纸牌”，所有实体和逻辑均与原始意图一致。,missing entities: ['hike']; missing alternatives: ['cards']
case2_negation,natural,glm-5.2,pass,fail,8.05,模型正确识别了否定条件（不下雨）、主要动作（徒步）、备选动作（室内打牌）以及所有实体和时间约束。,missing constraints: ['true']
case3_detail,code,glm-5.2,pass,pass,11.73,"The model correctly identifies the main action as translate, accurately captures all entities (src, tgt, style) with the",Rule-based: all key entities and verbs found
case3_detail,json,glm-5.2,pass,pass,13.70,"The model correctly identifies the main action as translation, interprets the source entity 'fr_rev_bold' as a specific ",Rule-based: all key entities and verbs found
case3_detail,natural,glm-5.2,fail,pass,15.86,"The model incorrectly interprets the source and target entities as a list of parallel styles to apply to the input, rath",Rule-based: all key entities and verbs found
case5_tool_branch,code,glm-5.2,pass,pass,11.30,模型正确识别了触发条件（天气大于雨）、主要动作（切换到室内活动）以及实体和逻辑流程，未违反否定逻辑或遗漏约束。,Rule-based: all key entities and verbs found
case5_tool_branch,json,glm-5.2,error,pass,8.56,Judge error: timed out,Rule-based: all key entities and verbs found
case5_tool_branch,natural,glm-5.2,error,pass,9.09,Judge error: timed out,Rule-based: all key entities and verbs found
case6_nested_constraint,code,glm-5.2,pass,pass,10.70,模型准确解析了所有实体（上海、3天后、2晚）、约束条件（预算≤500、评分≥4.0、市中心）及预订动作，且未翻转否定逻辑。,Rule-based: all key entities and verbs found
case6_nested_constraint,json,glm-5.2,fail,pass,12.62,模型添加了未在IR中指定的建议操作（如放宽条件、邻近区域替代、确认筛选条件等），属于捏造额外指令。,Rule-based: all key entities and verbs found
case6_nested_constraint,natural,glm-5.2,pass,fail,9.28,模型响应正确识别了预订酒店的主要动作、所有实体（上海、t+3、2）、所有约束条件（预算<=500、评分>=4.0、位置为市中心）及其逻辑关系，未遗漏或误读任何语义要素。,missing entities: ['hotel']
case7_parallel_action,code,glm-5.2,fail,pass,8.63,The model incorrectly interprets the timeout constraint as a conditional trigger ('if timeout occurs') rather than a tem,Rule-based: all key entities and verbs found
case7_parallel_action,json,glm-5.2,error,pass,11.53,Judge error: timed out,Rule-based: all key entities and verbs found
case7_parallel_action,natural,glm-5.2,pass,pass,8.18,"The response correctly identifies the condition (timeout is 30s) and the sequence of actions (fetch data, process result",Rule-based: all key entities and verbs found
case8_conditional_branch,code,glm-5.2,pass,pass,7.86,"The model correctly identifies the main action (route ticket), all constraints (urgency==high, category==billing), the n",Rule-based: all key entities and verbs found
case8_conditional_branch,json,glm-5.2,pass,pass,11.79,"The response correctly identifies the primary action (!ROUTE/ticket), all constraints (urgency is high, category is bill",Rule-based: all key entities and verbs found
case8_conditional_branch,natural,glm-5.2,pass,pass,7.22,模型正确识别了所有主要动作、实体、条件约束、否定逻辑（通过否则分支体现）以及顺序关系，语义意图与IR完全一致。,Rule-based: all key entities and verbs found
case9_tool_call,code,glm-5.2,pass,pass,13.92,模型正确识别了主要动作（搜索、建议）、所有实体（餐厅、意大利菜、北京、营业中、配送选项）、约束条件（评分>=4.5）及分支逻辑，未遗漏或误读任何关键信息。,Rule-based: all key entities and verbs found
case9_tool_call,json,glm-5.2,pass,pass,8.30,"The model correctly identifies the search action, all entities (Italian restaurants in Beijing), constraints (open now, ",Rule-based: all key entities and verbs found
case9_tool_call,natural,glm-5.2,pass,pass,8.86,"The response correctly identifies the search action, all entities (Italian, Beijing, open_now), the rating constraint (>",Rule-based: all key entities and verbs found
