case,frontend,string,tokenizer,token_count,is_single_token,tokens,is_unk
case2_negation,code,if !rain(t+1): start(hike) else: start(cards@indoor),gpt-3.5,19,False,"[""if"", "" !"", ""rain"", ""(t"", ""+"", ""1"", ""):"", "" start"", ""(h"", ""ike"", "")"", "" else"", "":"", "" start"", ""(cards"", ""@"", ""ind"", ""oor"", "")""]",False
case2_negation,json,"{""intent"":""!START"",""act"":""hike"",""constraints"":[{""type"":""!rain"",""value"":""true"",""time"":""t+1""}],""alternatives"":[{""action"":""!START"",""target"":""cards"",""location"":""indoor""}]}",gpt-4o,49,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""START"", ""\"",\"""", ""act"", ""\"":\"""", ""h"", ""ike"", ""\"",\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""!"", ""rain"", ""\"",\"""", ""value"", ""\"":\"""", ""true"", ""\"",\"""", ""time"", ""\"":\"""", ""t"", ""+"", ""1"", ""\""}"", ""],\"""", ""altern"", ""atives"", ""\"":["", ""{\"""", ""action"", ""\"":\"""", ""!"", ""START"", ""\"",\"""", ""target"", ""\"":\"""", ""cards"", ""\"",\"""", ""location"", ""\"":\"""", ""ind"", ""oor"", ""\""}"", ""]}""]",False
case2_negation,json,"{""intent"":""!START"",""act"":""hike"",""constraints"":[{""type"":""!rain"",""value"":""true"",""time"":""t+1""}],""alternatives"":[{""action"":""!START"",""target"":""cards"",""location"":""indoor""}]}",gpt-3.5,47,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""START"", ""\"",\"""", ""act"", ""\"":\"""", ""h"", ""ike"", ""\"",\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""!"", ""rain"", ""\"",\"""", ""value"", ""\"":\"""", ""true"", ""\"",\"""", ""time"", ""\"":\"""", ""t"", ""+"", ""1"", ""\""}"", ""],\"""", ""altern"", ""atives"", ""\"":[{\"""", ""action"", ""\"":\"""", ""!"", ""START"", ""\"",\"""", ""target"", ""\"":\"""", ""cards"", ""\"",\"""", ""location"", ""\"":\"""", ""ind"", ""oor"", ""\""}"", ""]}""]",False
case2_negation,natural,"If not rain at t+1, start hike otherwise start cards indoors.",gpt-4o,15,False,"[""If"", "" not"", "" rain"", "" at"", "" t"", ""+"", ""1"", "","", "" start"", "" hike"", "" otherwise"", "" start"", "" cards"", "" indoors"", "".""]",False
case2_negation,natural,"If not rain at t+1, start hike otherwise start cards indoors.",gpt-3.5,15,False,"[""If"", "" not"", "" rain"", "" at"", "" t"", ""+"", ""1"", "","", "" start"", "" hike"", "" otherwise"", "" start"", "" cards"", "" indoors"", "".""]",False
case3_detail,code,"translate(src=fr_rev_bold,tgt=shakespeare_en,style=archaic_heavy)",gpt-4o,21,False,"[""translate"", ""(src"", ""="", ""fr"", ""_rev"", ""_b"", ""old"", "",t"", ""gt"", ""="", ""sh"", ""akespeare"", ""_en"", "","", ""style"", ""="", ""archa"", ""ic"", ""_he"", ""avy"", "")""]",False
case3_detail,code,"translate(src=fr_rev_bold,tgt=shakespeare_en,style=archaic_heavy)",gpt-3.5,20,False,"[""translate"", ""(src"", ""="", ""fr"", ""_rev"", ""_bold"", "",t"", ""gt"", ""="", ""sh"", ""akespeare"", ""_en"", "","", ""style"", ""="", ""arch"", ""aic"", ""_he"", ""avy"", "")""]",False
case3_detail,json,"{""intent"":""!TRANSLATE"",""src"":""fr_rev_bold"",""tgt"":""shakespeare_en"",""style"":""archaic_heavy""}",gpt-4o,29,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""TRAN"", ""SL"", ""ATE"", ""\"",\"""", ""src"", ""\"":\"""", ""fr"", ""_rev"", ""_b"", ""old"", ""\"",\"""", ""t"", ""gt"", ""\"":\"""", ""sh"", ""akespeare"", ""_en"", ""\"",\"""", ""style"", ""\"":\"""", ""archa"", ""ic"", ""_he"", ""avy"", ""\""}""]",False
case3_detail,json,"{""intent"":""!TRANSLATE"",""src"":""fr_rev_bold"",""tgt"":""shakespeare_en"",""style"":""archaic_heavy""}",gpt-3.5,27,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""TRAN"", ""SL"", ""ATE"", ""\"",\"""", ""src"", ""\"":\"""", ""fr"", ""_rev"", ""_bold"", ""\"",\"""", ""tgt"", ""\"":\"""", ""sh"", ""akespeare"", ""_en"", ""\"",\"""", ""style"", ""\"":\"""", ""arch"", ""aic"", ""_he"", ""avy"", ""\""}""]",False
case3_detail,natural,"translate fr_rev_bold, shakespeare_en, archaic_heavy.",gpt-4o,15,False,"[""translate"", "" fr"", ""_rev"", ""_b"", ""old"", "","", "" sh"", ""akespeare"", ""_en"", "","", "" archa"", ""ic"", ""_he"", ""avy"", "".""]",False
case3_detail,natural,"translate fr_rev_bold, shakespeare_en, archaic_heavy.",gpt-3.5,14,False,"[""translate"", "" fr"", ""_rev"", ""_bold"", "","", "" sh"", ""akespeare"", ""_en"", "","", "" arch"", ""aic"", ""_he"", ""avy"", "".""]",False
case5_tool_branch,code,if weather>rain: switch_tool(indoor_activity),gpt-4o,11,False,"[""if"", "" weather"", "">"", ""rain"", "":"", "" switch"", ""_tool"", ""(ind"", ""oor"", ""_activity"", "")""]",False
case5_tool_branch,code,if weather>rain: switch_tool(indoor_activity),gpt-3.5,11,False,"[""if"", "" weather"", "">"", ""rain"", "":"", "" switch"", ""_tool"", ""(ind"", ""oor"", ""_activity"", "")""]",False
case5_tool_branch,json,"{""intent"":""!SWITCH_TOOL"",""act"":""indoor_activity"",""constraints"":[{""type"":""weather"",""value"":""rain"",""operator"":"">""}]}",gpt-4o,30,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""SW"", ""ITCH"", ""_TOOL"", ""\"",\"""", ""act"", ""\"":\"""", ""ind"", ""oor"", ""_activity"", ""\"",\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""weather"", ""\"",\"""", ""value"", ""\"":\"""", ""rain"", ""\"",\"""", ""operator"", ""\"":"", ""\"">"", ""\""}"", ""]}""]",False
case5_tool_branch,json,"{""intent"":""!SWITCH_TOOL"",""act"":""indoor_activity"",""constraints"":[{""type"":""weather"",""value"":""rain"",""operator"":"">""}]}",gpt-3.5,29,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""SW"", ""ITCH"", ""_TOOL"", ""\"",\"""", ""act"", ""\"":\"""", ""ind"", ""oor"", ""_activity"", ""\"",\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""weather"", ""\"",\"""", ""value"", ""\"":\"""", ""rain"", ""\"",\"""", ""operator"", ""\"":"", ""\"">"", ""\""}"", ""]}""]",False
case5_tool_branch,natural,"If weather is rain, switch to indoor_activity.",gpt-4o,10,False,"[""If"", "" weather"", "" is"", "" rain"", "","", "" switch"", "" to"", "" indoor"", ""_activity"", "".""]",False
case5_tool_branch,natural,"If weather is rain, switch to indoor_activity.",gpt-3.5,10,False,"[""If"", "" weather"", "" is"", "" rain"", "","", "" switch"", "" to"", "" indoor"", ""_activity"", "".""]",False
case6_nested_constraint,code,"if budget<=500 and rating>=4.0 and loc(hotel,downtown): book(hotel,city=Shanghai,checkin=t+3,nights=2)",gpt-4o,36,False,"[""if"", "" budget"", ""<="", ""500"", "" and"", "" rating"", "">="", ""4"", ""."", ""0"", "" and"", "" loc"", ""(h"", ""otel"", "",d"", ""ow"", ""ntown"", ""):"", "" book"", ""(h"", ""otel"", "","", ""city"", ""="", ""Shanghai"", "","", ""check"", ""in"", ""=t"", ""+"", ""3"", "",n"", ""ights"", ""="", ""2"", "")""]",False
case6_nested_constraint,code,"if budget<=500 and rating>=4.0 and loc(hotel,downtown): book(hotel,city=Shanghai,checkin=t+3,nights=2)",gpt-3.5,36,False,"[""if"", "" budget"", ""<="", ""500"", "" and"", "" rating"", "">="", ""4"", ""."", ""0"", "" and"", "" loc"", ""(h"", ""otel"", "",d"", ""owntown"", ""):"", "" book"", ""(h"", ""otel"", "","", ""city"", ""="", ""Sh"", ""anghai"", "","", ""check"", ""in"", ""=t"", ""+"", ""3"", "",n"", ""ights"", ""="", ""2"", "")""]",False
case6_nested_constraint,json,"{""intent"":""!BOOK"",""act"":""hotel"",""city"":""Shanghai"",""checkin"":""t+3"",""nights"":""2"",""constraints"":[{""type"":""budget"",""value"":""500"",""operator"":""<=""},{""type"":""rating"",""value"":""4.0"",""operator"":"">=""},{""type"":""loc"",""value"":""downtown"",""subject"":""hotel""}]}",gpt-4o,71,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""BOOK"", ""\"",\"""", ""act"", ""\"":\"""", ""hotel"", ""\"",\"""", ""city"", ""\"":\"""", ""Shanghai"", ""\"",\"""", ""check"", ""in"", ""\"":\"""", ""t"", ""+"", ""3"", ""\"",\"""", ""n"", ""ights"", ""\"":\"""", ""2"", ""\"",\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""budget"", ""\"",\"""", ""value"", ""\"":\"""", ""500"", ""\"",\"""", ""operator"", ""\"":\"""", ""<"", ""=\"""", ""},{\"""", ""type"", ""\"":\"""", ""rating"", ""\"",\"""", ""value"", ""\"":\"""", ""4"", ""."", ""0"", ""\"",\"""", ""operator"", ""\"":"", ""\"">"", ""=\"""", ""},{\"""", ""type"", ""\"":\"""", ""loc"", ""\"",\"""", ""value"", ""\"":\"""", ""dow"", ""ntown"", ""\"",\"""", ""subject"", ""\"":\"""", ""hotel"", ""\""}"", ""]}""]",False
case6_nested_constraint,json,"{""intent"":""!BOOK"",""act"":""hotel"",""city"":""Shanghai"",""checkin"":""t+3"",""nights"":""2"",""constraints"":[{""type"":""budget"",""value"":""500"",""operator"":""<=""},{""type"":""rating"",""value"":""4.0"",""operator"":"">=""},{""type"":""loc"",""value"":""downtown"",""subject"":""hotel""}]}",gpt-3.5,71,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""BOOK"", ""\"",\"""", ""act"", ""\"":\"""", ""hotel"", ""\"",\"""", ""city"", ""\"":\"""", ""Sh"", ""anghai"", ""\"",\"""", ""check"", ""in"", ""\"":\"""", ""t"", ""+"", ""3"", ""\"",\"""", ""n"", ""ights"", ""\"":\"""", ""2"", ""\"",\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""budget"", ""\"",\"""", ""value"", ""\"":\"""", ""500"", ""\"",\"""", ""operator"", ""\"":\"""", ""<"", ""=\"""", ""},{\"""", ""type"", ""\"":\"""", ""rating"", ""\"",\"""", ""value"", ""\"":\"""", ""4"", ""."", ""0"", ""\"",\"""", ""operator"", ""\"":"", ""\"">"", ""=\"""", ""},{\"""", ""type"", ""\"":\"""", ""loc"", ""\"",\"""", ""value"", ""\"":\"""", ""d"", ""owntown"", ""\"",\"""", ""subject"", ""\"":\"""", ""hotel"", ""\""}"", ""]}""]",False
case6_nested_constraint,natural,"If budget is 500 and rating is 4.0 and loc is downtown, book hotel, Shanghai, t+3, 2.",gpt-4o,29,False,"[""If"", "" budget"", "" is"", "" "", ""500"", "" and"", "" rating"", "" is"", "" "", ""4"", ""."", ""0"", "" and"", "" loc"", "" is"", "" downtown"", "","", "" book"", "" hotel"", "","", "" Shanghai"", "","", "" t"", ""+"", ""3"", "","", "" "", ""2"", "".""]",False
case6_nested_constraint,natural,"If budget is 500 and rating is 4.0 and loc is downtown, book hotel, Shanghai, t+3, 2.",gpt-3.5,29,False,"[""If"", "" budget"", "" is"", "" "", ""500"", "" and"", "" rating"", "" is"", "" "", ""4"", ""."", ""0"", "" and"", "" loc"", "" is"", "" downtown"", "","", "" book"", "" hotel"", "","", "" Shanghai"", "","", "" t"", ""+"", ""3"", "","", "" "", ""2"", "".""]",False
case7_parallel_action,code,if timeout(30s): fetch(data); process(result); email(report),gpt-4o,15,False,"[""if"", "" timeout"", ""("", ""30"", ""s"", ""):"", "" fetch"", ""(data"", "");"", "" process"", ""(result"", "");"", "" email"", ""(report"", "")""]",False
case7_parallel_action,code,if timeout(30s): fetch(data); process(result); email(report),gpt-3.5,15,False,"[""if"", "" timeout"", ""("", ""30"", ""s"", ""):"", "" fetch"", ""(data"", "");"", "" process"", ""(result"", "");"", "" email"", ""(report"", "")""]",False
case7_parallel_action,json,"{""intent"":""!FETCH"",""act"":""data"",""action_process"":[""result""],""action_email"":[""report""],""constraints"":[{""type"":""timeout"",""value"":""30s""}]}",gpt-4o,35,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""FETCH"", ""\"",\"""", ""act"", ""\"":\"""", ""data"", ""\"",\"""", ""action"", ""_process"", ""\"":[\"""", ""result"", ""\""],"", ""\"""", ""action"", ""_email"", ""\"":[\"""", ""report"", ""\""],"", ""\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""timeout"", ""\"",\"""", ""value"", ""\"":\"""", ""30"", ""s"", ""\""}"", ""]}""]",False
case7_parallel_action,json,"{""intent"":""!FETCH"",""act"":""data"",""action_process"":[""result""],""action_email"":[""report""],""constraints"":[{""type"":""timeout"",""value"":""30s""}]}",gpt-3.5,32,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""FETCH"", ""\"",\"""", ""act"", ""\"":\"""", ""data"", ""\"",\"""", ""action"", ""_process"", ""\"":[\"""", ""result"", ""\""],\"""", ""action"", ""_email"", ""\"":[\"""", ""report"", ""\""],\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""timeout"", ""\"",\"""", ""value"", ""\"":\"""", ""30"", ""s"", ""\""}"", ""]}""]",False
case7_parallel_action,natural,"If timeout is 30s, fetch data and process result and notify report.",gpt-4o,16,False,"[""If"", "" timeout"", "" is"", "" "", ""30"", ""s"", "","", "" fetch"", "" data"", "" and"", "" process"", "" result"", "" and"", "" notify"", "" report"", "".""]",False
case7_parallel_action,natural,"If timeout is 30s, fetch data and process result and notify report.",gpt-3.5,16,False,"[""If"", "" timeout"", "" is"", "" "", ""30"", ""s"", "","", "" fetch"", "" data"", "" and"", "" process"", "" result"", "" and"", "" notify"", "" report"", "".""]",False
case8_conditional_branch,code,if urgency==high and category(billing): route(ticket) else: route(tech_support); escalate(manager),gpt-4o,22,False,"[""if"", "" urgency"", ""=="", ""high"", "" and"", "" category"", ""(b"", ""illing"", ""):"", "" route"", ""(ticket"", "")"", "" else"", "":"", "" route"", ""("", ""tech"", ""_support"", "");"", "" escalate"", ""(manager"", "")""]",False
case8_conditional_branch,code,if urgency==high and category(billing): route(ticket) else: route(tech_support); escalate(manager),gpt-3.5,22,False,"[""if"", "" urgency"", ""=="", ""high"", "" and"", "" category"", ""(b"", ""illing"", ""):"", "" route"", ""(ticket"", "")"", "" else"", "":"", "" route"", ""("", ""tech"", ""_support"", "");"", "" escalate"", ""(manager"", "")""]",False
case8_conditional_branch,json,"{""intent"":""!ROUTE"",""act"":""ticket"",""constraints"":[{""type"":""urgency"",""value"":""high"",""operator"":""==""},{""type"":""category"",""value"":""billing""}],""alternatives"":[{""action"":""!ROUTE"",""target"":""tech_support""},{""action"":""!ESCALATE"",""target"":""manager""}]}",gpt-4o,63,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""RO"", ""UTE"", ""\"",\"""", ""act"", ""\"":\"""", ""ticket"", ""\"",\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""urg"", ""ency"", ""\"",\"""", ""value"", ""\"":\"""", ""high"", ""\"",\"""", ""operator"", ""\"":\"""", ""==\"""", ""},{\"""", ""type"", ""\"":\"""", ""category"", ""\"",\"""", ""value"", ""\"":\"""", ""billing"", ""\""}"", ""],\"""", ""altern"", ""atives"", ""\"":["", ""{\"""", ""action"", ""\"":\"""", ""!"", ""RO"", ""UTE"", ""\"",\"""", ""target"", ""\"":\"""", ""tech"", ""_support"", ""\""},{\"""", ""action"", ""\"":\"""", ""!"", ""ESC"", ""AL"", ""ATE"", ""\"",\"""", ""target"", ""\"":\"""", ""manager"", ""\""}"", ""]}""]",False
case8_conditional_branch,json,"{""intent"":""!ROUTE"",""act"":""ticket"",""constraints"":[{""type"":""urgency"",""value"":""high"",""operator"":""==""},{""type"":""category"",""value"":""billing""}],""alternatives"":[{""action"":""!ROUTE"",""target"":""tech_support""},{""action"":""!ESCALATE"",""target"":""manager""}]}",gpt-3.5,59,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""ROUTE"", ""\"",\"""", ""act"", ""\"":\"""", ""ticket"", ""\"",\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""urg"", ""ency"", ""\"",\"""", ""value"", ""\"":\"""", ""high"", ""\"",\"""", ""operator"", ""\"":\"""", ""==\"""", ""},{\"""", ""type"", ""\"":\"""", ""category"", ""\"",\"""", ""value"", ""\"":\"""", ""billing"", ""\""}"", ""],\"""", ""altern"", ""atives"", ""\"":[{\"""", ""action"", ""\"":\"""", ""!"", ""ROUTE"", ""\"",\"""", ""target"", ""\"":\"""", ""tech"", ""_support"", ""\""},{\"""", ""action"", ""\"":\"""", ""!"", ""ES"", ""CAL"", ""ATE"", ""\"",\"""", ""target"", ""\"":\"""", ""manager"", ""\""}"", ""]}""]",False
case8_conditional_branch,natural,"If urgency is high and category is billing, route ticket otherwise route tech_support and escalate manager.",gpt-4o,19,False,"[""If"", "" urgency"", "" is"", "" high"", "" and"", "" category"", "" is"", "" billing"", "","", "" route"", "" ticket"", "" otherwise"", "" route"", "" tech"", ""_support"", "" and"", "" escalate"", "" manager"", "".""]",False
case8_conditional_branch,natural,"If urgency is high and category is billing, route ticket otherwise route tech_support and escalate manager.",gpt-3.5,19,False,"[""If"", "" urgency"", "" is"", "" high"", "" and"", "" category"", "" is"", "" billing"", "","", "" route"", "" ticket"", "" otherwise"", "" route"", "" tech"", ""_support"", "" and"", "" escalate"", "" manager"", "".""]",False
case9_tool_call,code,"if rating>=4.5: search(restaurants,query=italian,location=Beijing,filter=open_now) else: suggest(delivery_options)",gpt-4o,32,False,"[""if"", "" rating"", "">="", ""4"", ""."", ""5"", "":"", "" search"", ""(rest"", ""aurants"", "","", ""query"", ""="", ""ital"", ""ian"", "","", ""location"", ""="", ""Be"", ""ijing"", "","", ""filter"", ""=open"", ""_now"", "")"", "" else"", "":"", "" suggest"", ""(del"", ""ivery"", ""_options"", "")""]",False
case9_tool_call,code,"if rating>=4.5: search(restaurants,query=italian,location=Beijing,filter=open_now) else: suggest(delivery_options)",gpt-3.5,32,False,"[""if"", "" rating"", "">="", ""4"", ""."", ""5"", "":"", "" search"", ""(rest"", ""aurants"", "","", ""query"", ""="", ""ital"", ""ian"", "","", ""location"", ""="", ""Be"", ""ijing"", "","", ""filter"", ""=open"", ""_now"", "")"", "" else"", "":"", "" suggest"", ""(del"", ""ivery"", ""_options"", "")""]",False
case9_tool_call,json,"{""intent"":""!SEARCH"",""act"":""restaurants"",""query"":""italian"",""location"":""Beijing"",""filter"":""open_now"",""constraints"":[{""type"":""rating"",""value"":""4.5"",""operator"":"">=""}],""alternatives"":[{""action"":""!SUGGEST"",""target"":""delivery_options""}]}",gpt-4o,61,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""SEARCH"", ""\"",\"""", ""act"", ""\"":\"""", ""restaurants"", ""\"",\"""", ""query"", ""\"":\"""", ""ital"", ""ian"", ""\"",\"""", ""location"", ""\"":\"""", ""Be"", ""ijing"", ""\"",\"""", ""filter"", ""\"":\"""", ""open"", ""_now"", ""\"",\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""rating"", ""\"",\"""", ""value"", ""\"":\"""", ""4"", ""."", ""5"", ""\"",\"""", ""operator"", ""\"":"", ""\"">"", ""=\"""", ""}"", ""],\"""", ""altern"", ""atives"", ""\"":["", ""{\"""", ""action"", ""\"":\"""", ""!"", ""S"", ""UG"", ""GEST"", ""\"",\"""", ""target"", ""\"":\"""", ""delivery"", ""_options"", ""\""}"", ""]}""]",False
