case_id,frontend,model,llm_verdict,rule_verdict,elapsed,retries,llm_reason,rule_reason
case1_multi_constraint,llmlingua2,glm-5.2,fail,fail,9.81,0,模型将主动作错误地识别为取消通知（notify），而不是取消航班（flight）；同时忽略了时间约束 t+1am 和后续的邮件通知动作。,missing entities: ['flight']
case1_multi_constraint,natural,glm-5.2,pass,pass,15.21,0,"The model correctly identifies the primary action (cancel flight), the secondary action (notify zhangsan), and the spati",Rule-based: all key entities and verbs found
case1_multi_constraint,nl_json,glm-5.2,fail,pass,9.04,0,"The response incorrectly introduces a sequential ordering requirement ('按顺序执行', '同时满足时触发') for the actions which is not ",Rule-based: all key entities and verbs found
case2_negation,code,glm-5.2,pass,pass,11.57,0,"The response accurately identifies the main action, all entities and arguments (hike, cards, indoor, t+1), the correct n",Rule-based: all key entities and verbs found
case2_negation,json,glm-5.2,fail,pass,8.31,0,"The model correctly interprets the action and alternatives, but it misidentifies the constraint condition as '!rain' mea",Rule-based: all key entities and verbs found
case2_negation,llmlingua2,glm-5.2,fail,pass,5.62,0,模型错误地将条件理解为了触发改变计划的逻辑，而实际上原始意图是要求在下大雨（条件）时开始徒步，或者在室内玩纸牌作为替代方案，同时模型将 'rain' 当作了停止徒步的信号，这歪曲了原始的否定逻辑和顺序约束。,Rule-based: all key entities and verbs found
case2_negation,natural,glm-5.2,pass,pass,9.66,0,模型正确捕获了主要动作（开始徒步）、条件约束（t+1时刻不下雨）、否定逻辑（非雨）、以及备选动作（在室内开始打牌）和所有相关实体。,Rule-based: all key entities and verbs found
case2_negation,nl_json,glm-5.2,fail,pass,27.75,0,"The model reversed the negation condition, stating it will hike 'if the condition is false' (i.e., if not rain) when the",Rule-based: all key entities and verbs found
case3_detail,code,glm-5.2,pass,pass,11.85,0,"The model correctly identified the main action as translate, accurately interpreted the source entity as French with rev",Rule-based: all key entities and verbs found
case3_detail,json,glm-5.2,pass,pass,16.90,0,"The model correctly identifies the main action as translation, accurately interprets the source as French with a bold/re",Rule-based: all key entities and verbs found
case3_detail,llmlingua2,glm-5.2,fail,fail,10.67,0,模型响应未能识别出主要动作为 'TRANSLATE'，错误地将其解释为风格设定模式切换，且未提及源语言 'fr' 和目标语言 'shakespeare_en' 的翻译关系。,"main verb 'translate' not found; missing entities: ['fr_rev_bold', 'archaic_heavy']"
case3_detail,natural,glm-5.2,fail,pass,15.63,0,模型误解了 SILP 指令的参数语义，错误地将 `shakespeare_en` 解释为一种叠加的文学基调，而实际上它应该是目标语言/格式；模型还错误推断出了不存在的语义细节（如将 'rev' 解读为革命性）,Rule-based: all key entities and verbs found
case3_detail,nl_json,glm-5.2,pass,pass,13.94,0,"模型正确识别了核心动作（translate）和所有实体及参数（src: fr_rev_bold, tgt: shakespeare_en, style: archaic_heavy），并准确理解了其语义含义，未遗漏任何约束或误反转逻辑。",Rule-based: all key entities and verbs found
case5_tool_branch,code,glm-5.2,pass,pass,10.61,0,"The model correctly identifies the condition (weather > rain) and the action (switch to indoor activity), preserving all",Rule-based: all key entities and verbs found
case5_tool_branch,json,glm-5.2,pass,pass,10.28,0,"The response correctly identifies the main action as switching to indoor activity, accurately interprets the weather con",Rule-based: all key entities and verbs found
case5_tool_branch,llmlingua2,glm-5.2,pass,fail,7.94,0,模型正确识别了主要动作为切换，实体包括天气（雨）和目标模式（室内），条件逻辑准确无误。,missing entities: ['indoor_activity']
case5_tool_branch,natural,glm-5.2,fail,pass,22.27,0,The model response misinterprets the logic by suggesting that 'greater than rain' implies 'good weather' or 'not raining,Rule-based: all key entities and verbs found
case5_tool_branch,nl_json,glm-5.2,pass,pass,9.63,0,"模型正确识别了核心意图（根据天气条件切换活动）、实体（weather, indoor_activity）、约束条件（天气状态 > 雨）以及相应的动作逻辑，未遗漏或错误理解任何要素。",Rule-based: all key entities and verbs found
case6_nested_constraint,code,glm-5.2,pass,pass,11.55,0,模型正确识别了主要动作（预订酒店）、所有实体（上海、t+3、2晚）、所有约束条件（预算<=500、评分>=4.0、市中心），且逻辑关系准确无误。,Rule-based: all key entities and verbs found
case6_nested_constraint,json,glm-5.2,pass,pass,11.13,0,"The model's response correctly identifies the main action as booking a hotel, captures all entity values (city: Shanghai",Rule-based: all key entities and verbs found
case6_nested_constraint,llmlingua2,glm-5.2,pass,fail,16.87,0,"The response correctly identifies the action as booking a hotel in Shanghai for 3 days later, and accurately captures al","missing entities: ['t+3', '2']"
case6_nested_constraint,natural,glm-5.2,pass,pass,6.48,0,模型正确识别了所有实体、约束条件、主要动作以及它们之间的逻辑关系，未遗漏或误解任何语义要素。,Rule-based: all key entities and verbs found
case6_nested_constraint,nl_json,glm-5.2,pass,pass,6.56,0,"The response correctly identifies the main action (book hotel), all entities (Shanghai, t+3, 2), and all constraints (bu",Rule-based: all key entities and verbs found
case7_parallel_action,code,glm-5.2,pass,pass,8.95,0,"The model's response correctly identifies the timeout trigger and the sequential actions of fetching data, processing th",Rule-based: all key entities and verbs found
case7_parallel_action,json,glm-5.2,pass,pass,7.31,0,"The model correctly identifies the main action as fetching data, the subsequent actions (processing the result and email",Rule-based: all key entities and verbs found
case7_parallel_action,llmlingua2,glm-5.2,fail,fail,14.64,0,模型错误地将 'email' 识别为 'notify'，且引入了未在 IR 中定义的 '回滚或记录错误' 等超时后续动作细节。,missing constraints: ['30s']
case7_parallel_action,natural,glm-5.2,fail,pass,6.97,0,The response incorrectly interprets the timeout constraint as a conditional trigger (when timeout equals 30s) rather tha,Rule-based: all key entities and verbs found
case7_parallel_action,nl_json,glm-5.2,pass,pass,13.67,0,模型正确识别了主要动作序列（获取数据、处理结果、通知报告）以及超时约束（30s），虽然对条件逻辑的解读略显严格，但未遗漏核心语义意图或反转否定逻辑。,Rule-based: all key entities and verbs found
case8_conditional_branch,code,glm-5.2,fail,pass,9.89,0,The response incorrectly interprets the else-branch logic as an ordered escalation sequence rather than independent alte,Rule-based: all key entities and verbs found
case8_conditional_branch,json,glm-5.2,pass,pass,7.92,0,"模型正确识别了主要意图(!ROUTE)、实体(ticket)、所有约束条件(urgency==high, category==billing)以及备选方案(tech_support, manager)，未遗漏或误读任何语义要素。",Rule-based: all key entities and verbs found
case8_conditional_branch,llmlingua2,glm-5.2,fail,pass,9.36,0,"The model incorrectly interprets the intent as a single primary action to route to a 'technical manager', missing the pr",Rule-based: all key entities and verbs found
case8_conditional_branch,natural,glm-5.2,pass,pass,9.70,0,"The model correctly identifies the primary action (route ticket), the constraints (urgency is high and category is billi",Rule-based: all key entities and verbs found
case8_conditional_branch,nl_json,glm-5.2,pass,pass,9.96,0,"模型正确识别了主要动作（路由）、所有实体值（urgency='high', category='billing', ticket, tech_support, manager）、约束条件（条件判断逻辑）以及备选分支动作，未发生否定逻辑颠倒或",Rule-based: all key entities and verbs found
case9_tool_call,code,glm-5.2,pass,pass,15.17,0,模型正确识别了主要动作、实体、约束条件、否定逻辑及替代分支,Rule-based: all key entities and verbs found
case9_tool_call,json,glm-5.2,pass,pass,5.05,0,"The response correctly identifies the main search action, entities (restaurants, italian, Beijing), constraints (rating ",Rule-based: all key entities and verbs found
case9_tool_call,llmlingua2,glm-5.2,fail,fail,13.79,0,模型错误地将评分约束 '>= 4.5' 解析为置信度评分 4.5，并且将备选动作 'suggest delivery_options' 误解为对当前搜索结果的过滤条件（只提供外卖），从而丢失了原始意图中的评分约束和备选动作分支。,missing entities: ['open_now']
case9_tool_call,natural,glm-5.2,pass,pass,5.59,0,模型正确解析了所有关键语义：评分≥4.5的条件、搜索北京营业中意大利餐厅的主意图、以及失败时建议配送选项的备选分支。,Rule-based: all key entities and verbs found
case9_tool_call,nl_json,glm-5.2,pass,pass,10.21,0,"The model correctly identifies the main search action with all entities (Italian, Beijing, open_now), the rating constra",Rule-based: all key entities and verbs found
case10_multi_turn,code,kimi-k2.6,pass,pass,7.68,0,模型准确识别了所有关键语义要素：动作是更新订单地址，实体包括订单号order_42、字段address和新值5_Tianfu_Ave，约束条件正确理解为用户已验证且订单状态不是已发货（status!=shipped），未遗漏任何要求或反转否,Rule-based: all key entities and verbs found
case10_multi_turn,json,kimi-k2.6,pass,pass,9.48,0,"The response correctly identifies the main action (update address), all entities (order_42, address, 5_Tianfu_Ave), and ",Rule-based: all key entities and verbs found
case10_multi_turn,llmlingua2,kimi-k2.6,fail,fail,6.89,0,The model incorrectly identified the target entity as '5_Tianfu' instead of 'order_42' and failed to recognize the addre,"missing entities: ['order_42', 'address', '5_Tianfu_Ave']"
case10_multi_turn,natural,kimi-k2.6,pass,pass,6.47,0,"The response correctly captures all required elements including the main action (update), entities (order_42, address, 5",Rule-based: all key entities and verbs found
case10_multi_turn,nl_json,kimi-k2.6,pass,fail,8.53,0,"The response correctly identifies the main action (update order_42's address to 5_Tianfu_Ave), correctly handles the neg",missing constraints: ['verified']
case1_multi_constraint,code,kimi-k2.6,pass,pass,7.32,0,"The model correctly identifies the conditional trigger, the main cancel action on the flight, the email notification to ",Rule-based: all key entities and verbs found
case1_multi_constraint,json,kimi-k2.6,pass,pass,7.07,1,模型正确识别了所有核心意图、实体、约束条件和通知目标，语义完全匹配。,Rule-based: all key entities and verbs found
case1_multi_constraint,llmlingua2,kimi-k2.6,fail,fail,8.04,0,模型未能正确识别核心动作为取消航班（CANCEL flight），而是误解为取消通知，同时遗漏了时间约束（t+1am）。,missing entities: ['flight']
case1_multi_constraint,natural,kimi-k2.6,pass,pass,5.83,0,"The response correctly identifies the condition (Beijing at t+1am), the primary action (cancel flight), and the notifica",Rule-based: all key entities and verbs found
case1_multi_constraint,nl_json,kimi-k2.6,pass,pass,8.54,0,"The response correctly identifies the main actions (cancel flight, notify zhangsan), the constraint condition (location ",Rule-based: all key entities and verbs found
case2_negation,code,kimi-k2.6,pass,pass,8.07,0,模型准确识别了主要动作（开始徒步）、所有实体（徒步、打牌、室内、未来时间）、条件约束（不下雨）以及备选方案逻辑（若下雨则室内打牌），且未反转否定逻辑或遗漏关键信息。,Rule-based: all key entities and verbs found
case2_negation,json,kimi-k2.6,fail,pass,10.67,0,"The response incorrectly interprets the constraint '!rain': true as a requirement to check for rain, when semantically i",Rule-based: all key entities and verbs found
case2_negation,llmlingua2,kimi-k2.6,fail,pass,12.41,0,"The model completely reversed the negation logic, interpreting '!rain' (true) as 'if rain' instead of 'if NOT rain', and",Rule-based: all key entities and verbs found
case2_negation,natural,kimi-k2.6,pass,pass,9.29,0,模型正确识别了条件逻辑、主动作、备选动作以及实体和约束关系。,Rule-based: all key entities and verbs found
case2_negation,nl_json,kimi-k2.6,pass,pass,8.09,0,"The model correctly identifies the main action (start hike), the condition (not rain at t+1), and the alternative action",Rule-based: all key entities and verbs found
case3_detail,code,kimi-k2.6,pass,pass,9.27,0,The model correctly identifies the main action as translation and accurately captures all entity values and their specif,Rule-based: all key entities and verbs found
case3_detail,json,kimi-k2.6,pass,pass,12.06,0,模型正确识别了核心动作“!TRANSLATE”，并准确解析了所有实体及其语义角色，包括源语言风格'fr_rev_bold'、目标语言风格'shakespeare_en'以及全局风格控制'archaic_heavy'。,Rule-based: all key entities and verbs found
case3_detail,llmlingua2,kimi-k2.6,fail,fail,15.18,0,"Could not parse judge response: {""verdict"": ""fail"", ""reason"": ""The model misidentified the main action as formatting ins","missing entities: ['fr_rev_bold', 'archaic_heavy']"
case3_detail,natural,kimi-k2.6,pass,pass,22.36,0,The model correctly identifies the main action as text transformation/translation and accurately captures all three enti,Rule-based: all key entities and verbs found
case3_detail,nl_json,kimi-k2.6,fail,pass,9.42,0,模型错误地将实体识别为三个并列的源文本，而IR明确指定了源语言(fr_rev_bold)、目标语言(shakespeare_en)和风格(archaic_heavy)的对应关系,Rule-based: all key entities and verbs found
case5_tool_branch,code,kimi-k2.6,fail,pass,10.46,0,The model correctly identified the action and constraint but failed to strictly adhere to the operator '>=' as specified,Rule-based: all key entities and verbs found
case5_tool_branch,json,kimi-k2.6,pass,pass,8.46,0,模型正确识别了核心意图!SWITCH、目标动作indoor_activity、天气约束条件（天气为雨）以及切换操作的触发逻辑,Rule-based: all key entities and verbs found
case5_tool_branch,llmlingua2,kimi-k2.6,fail,fail,9.42,0,"The model interprets the condition 'rain' as equality ('is rain'), but the IR explicitly requires a greater-than operato",missing entities: ['indoor_activity']
case5_tool_branch,natural,kimi-k2.6,pass,pass,11.29,0,模型正确识别了主要动作为切换到室内活动，正确捕捉了天气条件约束（尽管对大于运算符的解释合理），未遗漏实体或条件，且未违反否定逻辑。,Rule-based: all key entities and verbs found
case5_tool_branch,nl_json,kimi-k2.6,pass,pass,13.91,0,"The response correctly identifies the main action (switch to indoor_activity), the condition logic (monitoring weather),",Rule-based: all key entities and verbs found
case6_nested_constraint,code,kimi-k2.6,pass,pass,12.16,0,模型正确地捕获了所有主要动作、实体、条件、逻辑运算符及参数，未遗漏或误解任何语义元素。,Rule-based: all key entities and verbs found
case6_nested_constraint,json,kimi-k2.6,fail,pass,15.20,0,The model incorrectly invents alternative constraints and actions not present in the original IR.,Rule-based: all key entities and verbs found
case6_nested_constraint,llmlingua2,kimi-k2.6,fail,pass,7.05,0,The response fails to capture the 'nights' entity value '2' from the IR.,Rule-based: all key entities and verbs found
case6_nested_constraint,natural,kimi-k2.6,pass,pass,15.54,0,"The model correctly identifies all actions, entities, constraints, and their logical relationships without negation reve",Rule-based: all key entities and verbs found
case6_nested_constraint,nl_json,kimi-k2.6,pass,pass,9.60,0,"The model's response correctly captures the main action (book hotel), all entities (city: Shanghai, checkin: t+3, nights",Rule-based: all key entities and verbs found
case7_parallel_action,code,kimi-k2.6,pass,pass,6.85,0,"The response correctly identifies the actions (fetch data, process result, email report), the timeout constraint (30s), ",Rule-based: all key entities and verbs found
case7_parallel_action,json,kimi-k2.6,pass,pass,9.06,0,模型正确识别了核心操作（获取数据）、实体对象（数据、结果、报告）及其角色关系，以及超时约束条件，未遗漏或误解任何关键语义要素。,Rule-based: all key entities and verbs found
case7_parallel_action,llmlingua2,kimi-k2.6,pass,fail,13.89,0,"The model correctly identifies the main actions (fetch, process, email/notify/report), the timeout constraint, the seque",missing constraints: ['30s']
case7_parallel_action,natural,kimi-k2.6,pass,pass,9.31,0,模型正确识别了所有实体（timeout、data、result、report）、动作序列（fetch、process、notify/EMAIL）以及超时约束（30s），并且准确理解了仅在满足条件时执行该流程的逻辑。,Rule-based: all key entities and verbs found
case7_parallel_action,nl_json,kimi-k2.6,pass,pass,12.34,0,"The model correctly identifies the condition of timeout being 30s and the sequential actions of fetching data, processin",Rule-based: all key entities and verbs found
case8_conditional_branch,code,kimi-k2.6,pass,pass,7.68,0,模型正确解析了核心动作、所有实体、条件约束、否定逻辑及分支顺序，语义完全等价。,Rule-based: all key entities and verbs found
case8_conditional_branch,json,kimi-k2.6,pass,pass,13.15,0,模型响应正确识别了主意图 !ROUTE (ticket)，准确捕获了紧迫度高和类别计费的约束条件，并且正确描述了备选方案 tech_support 和 manager 的顺序逻辑，未出现否定逻辑错误或遗漏关键元素。,Rule-based: all key entities and verbs found
case8_conditional_branch,llmlingua2,kimi-k2.6,fail,fail,10.60,0,模型未能正确解析 alternatives 中的具体目标实体，且误解了路由动作的分解逻辑。,missing alternatives: ['tech_support']
case8_conditional_branch,natural,kimi-k2.6,fail,pass,9.54,0,The response incorrectly interprets the 'alternatives' as a sequential execution of both fallbacks ('tech_support' and ',Rule-based: all key entities and verbs found
case8_conditional_branch,nl_json,kimi-k2.6,fail,fail,7.70,0,The response incorrectly identifies the target for the initial conditional action as 'billing' instead of the implied 't,missing entities: ['ticket']
case9_tool_call,code,kimi-k2.6,pass,pass,18.69,0,"The response correctly identifies the primary search action, all entities (restaurants, Italian, Beijing, open_now), the",Rule-based: all key entities and verbs found
case9_tool_call,json,kimi-k2.6,pass,pass,6.30,0,模型正确识别了主要操作（搜索餐厅）、所有实体（意大利菜、北京、营业中）、约束条件（评分≥4.5）以及备选方案（建议配送选项）。,Rule-based: all key entities and verbs found
case9_tool_call,llmlingua2,kimi-k2.6,fail,fail,9.04,0,Model incorrectly interprets '4.5' as a confidence score instead of a rating constraint and treats 'delivery' as a manda,missing entities: ['open_now']
case9_tool_call,natural,kimi-k2.6,pass,pass,9.55,0,"The model correctly captures the full semantic intent, including the conditional logic (rating >= 4.5), the primary acti",Rule-based: all key entities and verbs found
case9_tool_call,nl_json,kimi-k2.6,pass,pass,7.28,0,"The response correctly identifies the search action, cuisine type, location, filter, rating constraint, and the alternat",Rule-based: all key entities and verbs found
case10_multi_turn,code,longcat-2.0,fail,pass,8.64,0,模型在第5部分中添加了未在原始指令中规定的错误提示响应逻辑（如'返回相应错误提示'），这属于虚构了额外的实体和条件。,Rule-based: all key entities and verbs found
case10_multi_turn,json,longcat-2.0,pass,pass,8.92,0,模型正确识别了更新操作、所有实体、约束条件（包括否定逻辑）以及操作顺序，语义意图与原始意图完全一致。,Rule-based: all key entities and verbs found
case10_multi_turn,llmlingua2,longcat-2.0,fail,fail,12.01,0,模型误解了实体 ID 和字段值，将 'order_42' 误认为 '5_Tianfu'，并将地址更新动作误解为状态更新，遗漏了地址字段更新。,"missing entities: ['order_42', 'address', '5_Tianfu_Ave']"
case10_multi_turn,natural,longcat-2.0,pass,pass,15.17,0,"The response correctly identifies the update action, target entities (order_42, address, 5_Tianfu_Ave), the authorizatio",Rule-based: all key entities and verbs found
case10_multi_turn,nl_json,longcat-2.0,pass,fail,21.88,0,"The response correctly identifies the update action, all entities (order_42, address, 5_Tianfu_Ave), constraints (verifi",missing constraints: ['verified']
case1_multi_constraint,code,longcat-2.0,pass,pass,7.58,0,"The model correctly identifies the condition, location, time, main action, and notification target without reversing any",Rule-based: all key entities and verbs found
