test,verb,char_code,char_desc,tokenizer,clean_token_count,injected_token_count,delta,survived,injected_string_repr
zerowidth_inject,start,ZWSP,Zero-Width Space,gpt-3.5,1,3,2,True,'st\u200bart'
zerowidth_inject,start,ZWSP,Zero-Width Space,llama-2,1,3,2,True,'st\u200bart'
zerowidth_inject,start,ZWSP,Zero-Width Space,qwen2.5,1,3,2,True,'st\u200bart'
zerowidth_inject,start,ZWSP,Zero-Width Space,claude,1,3,2,True,'st\u200bart'
zerowidth_inject,start,ZWSP,Zero-Width Space,gemini,1,3,2,True,'st\u200bart'
zerowidth_inject,start,ZWNJ,Zero-Width Non-Joiner,gpt-4o,1,3,2,True,'st\u200cart'
zerowidth_inject,start,ZWNJ,Zero-Width Non-Joiner,gpt-3.5,1,3,2,True,'st\u200cart'
zerowidth_inject,start,ZWNJ,Zero-Width Non-Joiner,llama-2,1,3,2,True,'st\u200cart'
zerowidth_inject,start,ZWNJ,Zero-Width Non-Joiner,qwen2.5,1,3,2,True,'st\u200cart'
zerowidth_inject,start,ZWNJ,Zero-Width Non-Joiner,claude,1,4,3,True,'st\u200cart'
zerowidth_inject,start,ZWNJ,Zero-Width Non-Joiner,gemini,1,3,2,True,'st\u200cart'
zerowidth_inject,start,ZWJ,Zero-Width Joiner,gpt-4o,1,3,2,True,'st\u200dart'
zerowidth_inject,start,ZWJ,Zero-Width Joiner,gpt-3.5,1,4,3,True,'st\u200dart'
zerowidth_inject,start,ZWJ,Zero-Width Joiner,llama-2,1,3,2,True,'st\u200dart'
zerowidth_inject,start,ZWJ,Zero-Width Joiner,qwen2.5,1,4,3,True,'st\u200dart'
zerowidth_inject,start,ZWJ,Zero-Width Joiner,claude,1,4,3,True,'st\u200dart'
zerowidth_inject,start,ZWJ,Zero-Width Joiner,gemini,1,3,2,True,'st\u200dart'
zerowidth_inject,start,BOM,Byte Order Mark / ZWNBSP,gpt-4o,1,3,2,True,'st\ufeffart'
zerowidth_inject,start,BOM,Byte Order Mark / ZWNBSP,gpt-3.5,1,3,2,True,'st\ufeffart'
zerowidth_inject,start,BOM,Byte Order Mark / ZWNBSP,llama-2,1,3,2,True,'st\ufeffart'
zerowidth_inject,start,BOM,Byte Order Mark / ZWNBSP,qwen2.5,1,3,2,True,'st\ufeffart'
zerowidth_inject,start,BOM,Byte Order Mark / ZWNBSP,claude,1,3,2,True,'st\ufeffart'
zerowidth_inject,start,BOM,Byte Order Mark / ZWNBSP,gemini,1,3,2,True,'st\ufeffart'
zerowidth_inject,translate,ZWSP,Zero-Width Space,gpt-4o,1,4,3,True,'tran\u200bslate'
zerowidth_inject,translate,ZWSP,Zero-Width Space,gpt-3.5,1,4,3,True,'tran\u200bslate'
zerowidth_inject,translate,ZWSP,Zero-Width Space,llama-2,1,4,3,True,'tran\u200bslate'
zerowidth_inject,translate,ZWSP,Zero-Width Space,qwen2.5,1,4,3,True,'tran\u200bslate'
zerowidth_inject,translate,ZWSP,Zero-Width Space,claude,1,4,3,True,'tran\u200bslate'
zerowidth_inject,translate,ZWSP,Zero-Width Space,gemini,1,3,2,True,'tran\u200bslate'
zerowidth_inject,translate,ZWNJ,Zero-Width Non-Joiner,gpt-4o,1,4,3,True,'tran\u200cslate'
zerowidth_inject,translate,ZWNJ,Zero-Width Non-Joiner,gpt-3.5,1,4,3,True,'tran\u200cslate'
zerowidth_inject,translate,ZWNJ,Zero-Width Non-Joiner,llama-2,1,4,3,True,'tran\u200cslate'
zerowidth_inject,translate,ZWNJ,Zero-Width Non-Joiner,qwen2.5,1,4,3,True,'tran\u200cslate'
zerowidth_inject,translate,ZWNJ,Zero-Width Non-Joiner,claude,1,5,4,True,'tran\u200cslate'
zerowidth_inject,translate,ZWNJ,Zero-Width Non-Joiner,gemini,1,3,2,True,'tran\u200cslate'
zerowidth_inject,translate,ZWJ,Zero-Width Joiner,gpt-4o,1,4,3,True,'tran\u200dslate'
zerowidth_inject,translate,ZWJ,Zero-Width Joiner,gpt-3.5,1,5,4,True,'tran\u200dslate'
zerowidth_inject,translate,ZWJ,Zero-Width Joiner,llama-2,1,4,3,True,'tran\u200dslate'
zerowidth_inject,translate,ZWJ,Zero-Width Joiner,qwen2.5,1,5,4,True,'tran\u200dslate'
zerowidth_inject,translate,ZWJ,Zero-Width Joiner,claude,1,5,4,True,'tran\u200dslate'
zerowidth_inject,translate,ZWJ,Zero-Width Joiner,gemini,1,3,2,True,'tran\u200dslate'
zerowidth_inject,translate,BOM,Byte Order Mark / ZWNBSP,gpt-4o,1,4,3,True,'tran\ufeffslate'
zerowidth_inject,translate,BOM,Byte Order Mark / ZWNBSP,gpt-3.5,1,4,3,True,'tran\ufeffslate'
zerowidth_inject,translate,BOM,Byte Order Mark / ZWNBSP,llama-2,1,4,3,True,'tran\ufeffslate'
zerowidth_inject,translate,BOM,Byte Order Mark / ZWNBSP,qwen2.5,1,4,3,True,'tran\ufeffslate'
zerowidth_inject,translate,BOM,Byte Order Mark / ZWNBSP,claude,1,4,3,True,'tran\ufeffslate'
zerowidth_inject,translate,BOM,Byte Order Mark / ZWNBSP,gemini,1,3,2,True,'tran\ufeffslate'
zerowidth_inject,if,ZWSP,Zero-Width Space,gpt-4o,1,3,2,True,'i\u200bf'
zerowidth_inject,if,ZWSP,Zero-Width Space,gpt-3.5,1,3,2,True,'i\u200bf'
zerowidth_inject,if,ZWSP,Zero-Width Space,llama-2,1,3,2,True,'i\u200bf'
zerowidth_inject,if,ZWSP,Zero-Width Space,qwen2.5,1,3,2,True,'i\u200bf'
zerowidth_inject,if,ZWSP,Zero-Width Space,claude,1,3,2,True,'i\u200bf'
zerowidth_inject,if,ZWSP,Zero-Width Space,gemini,1,3,2,True,'i\u200bf'
zerowidth_inject,if,ZWNJ,Zero-Width Non-Joiner,gpt-4o,1,3,2,True,'i\u200cf'
zerowidth_inject,if,ZWNJ,Zero-Width Non-Joiner,gpt-3.5,1,3,2,True,'i\u200cf'
zerowidth_inject,if,ZWNJ,Zero-Width Non-Joiner,llama-2,1,3,2,True,'i\u200cf'
zerowidth_inject,if,ZWNJ,Zero-Width Non-Joiner,qwen2.5,1,3,2,True,'i\u200cf'
zerowidth_inject,if,ZWNJ,Zero-Width Non-Joiner,claude,1,4,3,True,'i\u200cf'
zerowidth_inject,if,ZWNJ,Zero-Width Non-Joiner,gemini,1,3,2,True,'i\u200cf'
zerowidth_inject,if,ZWJ,Zero-Width Joiner,gpt-4o,1,3,2,True,'i\u200df'
zerowidth_inject,if,ZWJ,Zero-Width Joiner,gpt-3.5,1,4,3,True,'i\u200df'
zerowidth_inject,if,ZWJ,Zero-Width Joiner,llama-2,1,3,2,True,'i\u200df'
zerowidth_inject,if,ZWJ,Zero-Width Joiner,qwen2.5,1,4,3,True,'i\u200df'
zerowidth_inject,if,ZWJ,Zero-Width Joiner,claude,1,4,3,True,'i\u200df'
zerowidth_inject,if,ZWJ,Zero-Width Joiner,gemini,1,3,2,True,'i\u200df'
zerowidth_inject,if,BOM,Byte Order Mark / ZWNBSP,gpt-4o,1,3,2,True,'i\ufefff'
zerowidth_inject,if,BOM,Byte Order Mark / ZWNBSP,gpt-3.5,1,3,2,True,'i\ufefff'
zerowidth_inject,if,BOM,Byte Order Mark / ZWNBSP,llama-2,1,3,2,True,'i\ufefff'
zerowidth_inject,if,BOM,Byte Order Mark / ZWNBSP,qwen2.5,1,3,2,True,'i\ufefff'
zerowidth_inject,if,BOM,Byte Order Mark / ZWNBSP,claude,1,3,2,True,'i\ufefff'
zerowidth_inject,if,BOM,Byte Order Mark / ZWNBSP,gemini,1,3,2,True,'i\ufefff'
zerowidth_inject,else,ZWSP,Zero-Width Space,gpt-4o,1,3,2,True,'el\u200bse'
zerowidth_inject,else,ZWSP,Zero-Width Space,gpt-3.5,1,3,2,True,'el\u200bse'
zerowidth_inject,else,ZWSP,Zero-Width Space,llama-2,1,3,2,True,'el\u200bse'
zerowidth_inject,else,ZWSP,Zero-Width Space,qwen2.5,1,3,2,True,'el\u200bse'
zerowidth_inject,else,ZWSP,Zero-Width Space,claude,1,3,2,True,'el\u200bse'
zerowidth_inject,else,ZWSP,Zero-Width Space,gemini,1,3,2,True,'el\u200bse'
zerowidth_inject,else,ZWNJ,Zero-Width Non-Joiner,gpt-4o,1,3,2,True,'el\u200cse'
zerowidth_inject,else,ZWNJ,Zero-Width Non-Joiner,gpt-3.5,1,3,2,True,'el\u200cse'
zerowidth_inject,else,ZWNJ,Zero-Width Non-Joiner,llama-2,1,3,2,True,'el\u200cse'
zerowidth_inject,else,ZWNJ,Zero-Width Non-Joiner,qwen2.5,1,3,2,True,'el\u200cse'
zerowidth_inject,else,ZWNJ,Zero-Width Non-Joiner,claude,1,4,3,True,'el\u200cse'
zerowidth_inject,else,ZWNJ,Zero-Width Non-Joiner,gemini,1,3,2,True,'el\u200cse'
zerowidth_inject,else,ZWJ,Zero-Width Joiner,gpt-4o,1,3,2,True,'el\u200dse'
zerowidth_inject,else,ZWJ,Zero-Width Joiner,gpt-3.5,1,4,3,True,'el\u200dse'
zerowidth_inject,else,ZWJ,Zero-Width Joiner,llama-2,1,3,2,True,'el\u200dse'
zerowidth_inject,else,ZWJ,Zero-Width Joiner,qwen2.5,1,4,3,True,'el\u200dse'
zerowidth_inject,else,ZWJ,Zero-Width Joiner,claude,1,4,3,True,'el\u200dse'
zerowidth_inject,else,ZWJ,Zero-Width Joiner,gemini,1,3,2,True,'el\u200dse'
zerowidth_inject,else,BOM,Byte Order Mark / ZWNBSP,gpt-4o,1,3,2,True,'el\ufeffse'
zerowidth_inject,else,BOM,Byte Order Mark / ZWNBSP,gpt-3.5,1,3,2,True,'el\ufeffse'
zerowidth_inject,else,BOM,Byte Order Mark / ZWNBSP,llama-2,1,3,2,True,'el\ufeffse'
zerowidth_inject,else,BOM,Byte Order Mark / ZWNBSP,qwen2.5,1,3,2,True,'el\ufeffse'
zerowidth_inject,else,BOM,Byte Order Mark / ZWNBSP,claude,1,3,2,True,'el\ufeffse'
zerowidth_inject,else,BOM,Byte Order Mark / ZWNBSP,gemini,1,3,2,True,'el\ufeffse'
homoglyph_substitution,cancel,a->а,Latin-a vs Cyrillic-a,gpt-4o,1,4,3,True,'cаncel'
homoglyph_substitution,cancel,a->а,Latin-a vs Cyrillic-a,gpt-3.5,1,4,3,True,'cаncel'
homoglyph_substitution,cancel,a->а,Latin-a vs Cyrillic-a,llama-2,1,4,3,True,'cаncel'
homoglyph_substitution,cancel,a->а,Latin-a vs Cyrillic-a,qwen2.5,1,4,3,True,'cаncel'
homoglyph_substitution,cancel,a->а,Latin-a vs Cyrillic-a,claude,1,4,3,True,'cаncel'
homoglyph_substitution,cancel,a->а,Latin-a vs Cyrillic-a,gemini,1,4,3,True,'cаncel'
homoglyph_substitution,start,a->а,Latin-a vs Cyrillic-a,gpt-4o,1,3,2,True,'stаrt'
homoglyph_substitution,start,a->а,Latin-a vs Cyrillic-a,gpt-3.5,1,3,2,True,'stаrt'
homoglyph_substitution,start,a->а,Latin-a vs Cyrillic-a,llama-2,1,3,2,True,'stаrt'
homoglyph_substitution,start,a->а,Latin-a vs Cyrillic-a,qwen2.5,1,3,2,True,'stаrt'
homoglyph_substitution,start,a->а,Latin-a vs Cyrillic-a,claude,1,3,2,True,'stаrt'
homoglyph_substitution,start,a->а,Latin-a vs Cyrillic-a,gemini,1,3,2,True,'stаrt'
homoglyph_substitution,cancel,e->е,Latin-e vs Cyrillic-e,gpt-4o,1,4,3,True,'cancеl'
homoglyph_substitution,cancel,e->е,Latin-e vs Cyrillic-e,gpt-3.5,1,4,3,True,'cancеl'
homoglyph_substitution,cancel,e->е,Latin-e vs Cyrillic-e,llama-2,1,4,3,True,'cancеl'
homoglyph_substitution,cancel,e->е,Latin-e vs Cyrillic-e,qwen2.5,1,4,3,True,'cancеl'
homoglyph_substitution,cancel,e->е,Latin-e vs Cyrillic-e,claude,1,4,3,True,'cancеl'
homoglyph_substitution,cancel,e->е,Latin-e vs Cyrillic-e,gemini,1,4,3,True,'cancеl'
homoglyph_substitution,cancel,c->с,Latin-c vs Cyrillic-es,gpt-4o,1,4,3,True,'сanсel'
homoglyph_substitution,cancel,c->с,Latin-c vs Cyrillic-es,gpt-3.5,1,4,3,True,'сanсel'
homoglyph_substitution,cancel,c->с,Latin-c vs Cyrillic-es,llama-2,1,4,3,True,'сanсel'
homoglyph_substitution,cancel,c->с,Latin-c vs Cyrillic-es,qwen2.5,1,4,3,True,'сanсel'
homoglyph_substitution,cancel,c->с,Latin-c vs Cyrillic-es,claude,1,4,3,True,'сanсel'
homoglyph_substitution,cancel,c->с,Latin-c vs Cyrillic-es,gemini,1,4,3,True,'сanсel'
